,symbol,profit,sector
0,MMM,-7670.0,Industrials
1,AOS,6450.0,Industrials
2,ABT,4630.0,Health Care
3,ABBV,59140.0,Health Care
4,ABMD,-306210.0,Health Care
5,ACN,-6700.0,Information Technology
6,ATVI,-45720.0,Communication Services
7,ADBE,0.0,Information Technology
8,AAP,0.0,Consumer Discretionary
9,AMD,51230.0,Information Technology
10,AES,5160.0,Utilities
11,AFL,3890.0,Financials
12,A,-520.0,Health Care
13,APD,0.0,Materials
14,AKAM,0.0,Information Technology
15,ALK,-65630.0,Industrials
16,ALB,9190.0,Materials
17,ARE,-23330.0,Real Estate
18,ALXN,-143970.0,Health Care
19,ALGN,24780.0,Health Care
20,ALLE,97470.0,Industrials
21,LNT,-39290.0,Utilities
22,ALL,-63870.0,Financials
23,GOOGL,21760.0,Communication Services
24,GOOG,0.0,Communication Services
25,MO,-34450.0,Consumer Staples
26,AMZN,791870.0,Consumer Discretionary
27,AMCR,400.0,Materials
28,AEE,-73510.0,Utilities
29,AAL,-3500.0,Industrials
30,AEP,42320.0,Utilities
31,AXP,0.0,Financials
32,AIG,-13960.0,Financials
33,AMT,94870.0,Real Estate
34,AWK,0.0,Utilities
35,AMP,-110360.0,Financials
36,ABC,-51370.0,Health Care
37,AME,-50780.0,Industrials
38,AMGN,-106400.0,Health Care
39,APH,-6930.0,Information Technology
40,ADI,-73310.0,Information Technology
41,ANSS,0.0,Information Technology
42,ANTM,-82650.0,Health Care
43,AON,-5960.0,Financials
44,APA,-40060.0,Energy
45,AIV,-160220.0,Real Estate
46,AAPL,64130.0,Information Technology
47,AMAT,18460.0,Information Technology
48,APTV,0.0,Consumer Discretionary
49,ADM,-13480.0,Consumer Staples
50,ANET,171300.0,Information Technology
51,AJG,92210.0,Financials
52,AIZ,-81760.0,Financials
53,T,6680.0,Communication Services
54,ATO,-23640.0,Utilities
55,ADSK,-13310.0,Information Technology
56,ADP,-50120.0,Information Technology
57,AZO,0.0,Consumer Discretionary
58,AVB,-187620.0,Real Estate
59,AVY,11800.0,Materials
60,BKR,-5410.0,Energy
61,BLL,14320.0,Materials
62,BAC,18880.0,Financials
63,BAX,14480.0,Health Care
64,BDX,-25020.0,Health Care
65,BRKB,0.0,Financials
66,BBY,0.0,Consumer Discretionary
67,BIO,512990.0,Health Care
68,BIIB,-138190.0,Health Care
69,BLK,-81540.0,Financials
70,BA,-19760.0,Industrials
71,BKNG,0.0,Consumer Discretionary
72,BWA,-23920.0,Consumer Discretionary
73,BXP,-125940.0,Real Estate
74,BSX,-11700.0,Health Care
75,BMY,-88090.0,Health Care
76,AVGO,96080.0,Information Technology
77,BR,35110.0,Information Technology
78,BFA,0.0,Consumer Staples
79,CHRW,-56280.0,Industrials
80,COG,-12630.0,Energy
81,CDNS,22570.0,Information Technology
82,CPB,-54890.0,Consumer Staples
83,COF,-78500.0,Financials
84,CAH,-28600.0,Health Care
85,KMX,-67420.0,Consumer Discretionary
86,CCL,-24620.0,Consumer Discretionary
87,CARR,0.0,Industrials
88,CAT,12720.0,Industrials
89,CBOE,30130.0,Financials
90,CBRE,-8270.0,Real Estate
91,CDW,44760.0,Information Technology
92,CE,-12310.0,Materials
93,CNC,90090.0,Health Care
94,CNP,-4740.0,Utilities
95,CTL,-6110.0,Communication Services
96,CERN,10300.0,Health Care
97,CF,3240.0,Materials
98,SCHW,53500.0,Financials
99,CHTR,0.0,Communication Services
100,CVX,-13680.0,Energy
101,CMG,38670.0,Consumer Discretionary
102,CB,0.0,Financials
103,CHD,-200330.0,Consumer Staples
104,CI,-112320.0,Health Care
105,CINF,0.0,Financials
106,CTAS,0.0,Industrials
107,CSCO,17380.0,Information Technology
108,C,-34340.0,Financials
109,CFG,-23940.0,Financials
110,CTXS,-11430.0,Information Technology
111,CME,-74460.0,Financials
112,CMS,10870.0,Utilities
113,KO,-9500.0,Consumer Staples
114,CTSH,-57010.0,Information Technology
115,CL,-214700.0,Consumer Staples
116,CMCSA,-17590.0,Communication Services
117,CMA,1010.0,Financials
118,CAG,-10160.0,Consumer Staples
119,CXO,-27540.0,Energy
120,COP,-33740.0,Energy
121,ED,-217380.0,Utilities
122,STZ,0.0,Consumer Staples
123,CPRT,83800.0,Industrials
124,GLW,1500.0,Information Technology
125,CTVA,-8790.0,Materials
126,COST,-6640.0,Consumer Staples
127,COTY,-199510.0,Consumer Staples
128,CCI,-104560.0,Real Estate
129,CSX,24270.0,Industrials
130,CMI,11830.0,Industrials
131,CVS,-27120.0,Health Care
132,DHI,0.0,Consumer Discretionary
133,DHR,-15000.0,Health Care
134,DRI,3720.0,Consumer Discretionary
135,DVA,-4070.0,Health Care
136,DE,41300.0,Industrials
137,DAL,0.0,Industrials
138,XRAY,-111820.0,Health Care
139,DVN,-12940.0,Energy
140,DXCM,-82400.0,Health Care
141,FANG,-10680.0,Energy
142,DLR,20590.0,Real Estate
143,DFS,-57470.0,Financials
144,DISCA,-9740.0,Communication Services
145,DISCK,-25050.0,Communication Services
146,DISH,-25770.0,Communication Services
147,DG,78990.0,Consumer Discretionary
148,DLTR,-1690.0,Consumer Discretionary
149,D,7490.0,Utilities
150,DPZ,58660.0,Consumer Discretionary
151,DOV,-39210.0,Industrials
152,DOW,-12040.0,Materials
153,DTE,14120.0,Utilities
154,DUK,-11410.0,Utilities
155,DRE,3220.0,Real Estate
156,DD,-63890.0,Materials
157,DXC,-14430.0,Information Technology
158,ETFC,-56940.0,Financials
159,EMN,4800.0,Materials
160,ETN,71290.0,Industrials
161,EBAY,-6110.0,Consumer Discretionary
162,ECL,50.0,Materials
163,EIX,-34450.0,Utilities
164,EW,9580.0,Health Care
165,EA,11230.0,Communication Services
166,EMR,-42220.0,Industrials
167,ETR,99910.0,Utilities
168,EOG,-39210.0,Energy
169,EFX,0.0,Industrials
170,EQIX,0.0,Real Estate
171,EQR,-86230.0,Real Estate
172,ESS,43830.0,Real Estate
173,EL,15570.0,Consumer Staples
174,RE,-29870.0,Financials
175,EVRG,-42560.0,Utilities
176,ES,34420.0,Utilities
177,EXC,0.0,Utilities
178,EXPE,-79280.0,Consumer Discretionary
179,EXPD,-52710.0,Industrials
180,EXR,0.0,Real Estate
181,XOM,-86070.0,Energy
182,FFIV,56540.0,Information Technology
183,FB,-33810.0,Communication Services
184,FAST,-1320.0,Industrials
185,FRT,-9810.0,Real Estate
186,FDX,-114210.0,Industrials
187,FIS,0.0,Information Technology
188,FITB,-8460.0,Financials
189,FRC,-21100.0,Financials
190,FE,310.0,Utilities
191,FISV,0.0,Information Technology
192,FLT,0.0,Information Technology
193,FLIR,-5450.0,Information Technology
194,FLS,3210.0,Industrials
195,FMC,4500.0,Materials
196,F,-7230.0,Consumer Discretionary
197,FTNT,28780.0,Information Technology
198,FTV,13240.0,Industrials
199,FBHS,0.0,Industrials
200,FOXA,-12760.0,Communication Services
201,FOX,0.0,Communication Services
202,BEN,-45300.0,Financials
203,FCX,5790.0,Materials
204,GPS,-9420.0,Consumer Discretionary
205,GRMN,-67060.0,Consumer Discretionary
206,IT,-50890.0,Information Technology
207,GD,-140690.0,Industrials
208,GE,0.0,Industrials
209,GIS,-12570.0,Consumer Staples
210,GM,-10430.0,Consumer Discretionary
211,GPC,-51360.0,Consumer Discretionary
212,GILD,-62150.0,Health Care
213,GPN,0.0,Information Technology
214,GL,0.0,Financials
215,GS,-57740.0,Financials
216,GWW,-8620.0,Industrials
217,HRB,-21190.0,Consumer Discretionary
218,HAL,-48840.0,Energy
219,HBI,-9450.0,Consumer Discretionary
220,HIG,-61370.0,Financials
221,HAS,-6510.0,Consumer Discretionary
222,HCA,-35860.0,Health Care
223,PEAK,0.0,Real Estate
224,HSIC,-7360.0,Health Care
225,HES,-17450.0,Energy
226,HPE,-1820.0,Information Technology
227,HLT,21700.0,Consumer Discretionary
228,HFC,0.0,Energy
229,HOLX,-31120.0,Health Care
230,HD,0.0,Consumer Discretionary
231,HON,-800.0,Industrials
232,HRL,0.0,Consumer Staples
233,HST,-3270.0,Real Estate
234,HWM,0.0,Industrials
235,HPQ,2100.0,Information Technology
236,HUM,0.0,Health Care
237,HBAN,-14130.0,Financials
238,HII,0.0,Industrials
239,IEX,830.0,Industrials
240,IDXX,-555360.0,Health Care
241,INFO,-39860.0,Industrials
242,ITW,41380.0,Industrials
243,ILMN,42950.0,Health Care
244,INCY,-23220.0,Health Care
245,IR,-4050.0,Industrials
246,INTC,-44860.0,Information Technology
247,ICE,11820.0,Financials
248,IBM,-70230.0,Information Technology
249,IP,-30940.0,Materials
250,IPG,-111930.0,Communication Services
251,IFF,-55040.0,Materials
252,INTU,59860.0,Information Technology
253,ISRG,97050.0,Health Care
254,IVZ,10260.0,Financials
255,IPGP,265020.0,Information Technology
256,IQV,-113260.0,Health Care
257,IRM,-11160.0,Real Estate
258,JBHT,0.0,Industrials
259,JKHY,0.0,Information Technology
260,J,0.0,Industrials
261,SJM,0.0,Consumer Staples
262,JNJ,11260.0,Health Care
263,JCI,2140.0,Industrials
264,JPM,23620.0,Financials
265,JNPR,-21930.0,Information Technology
266,KSU,0.0,Industrials
267,K,0.0,Consumer Staples
268,KEY,26940.0,Financials
269,KEYS,0.0,Information Technology
270,KMB,109540.0,Consumer Staples
271,KIM,0.0,Real Estate
272,KMI,960.0,Energy
273,KLAC,-7670.0,Information Technology
274,KSS,-4720.0,Consumer Discretionary
275,KHC,-36160.0,Consumer Staples
276,KR,2100.0,Consumer Staples
277,LB,-14930.0,Consumer Discretionary
278,LHX,25110.0,Industrials
279,LH,4990.0,Health Care
280,LRCX,-6670.0,Information Technology
281,LW,0.0,Consumer Staples
282,LVS,-7260.0,Consumer Discretionary
283,LEG,-15640.0,Consumer Discretionary
284,LDOS,34910.0,Information Technology
285,LEN,-6830.0,Consumer Discretionary
286,LLY,13330.0,Health Care
287,LNC,-176740.0,Financials
288,LIN,-165780.0,Materials
289,LYV,-38310.0,Communication Services
290,LKQ,-3350.0,Consumer Discretionary
291,LMT,0.0,Industrials
292,L,-42430.0,Financials
293,LOW,-31350.0,Consumer Discretionary
294,LYB,-47740.0,Materials
295,MTB,-100960.0,Financials
296,MRO,-25530.0,Energy
297,MPC,2020.0,Energy
298,MKTX,176950.0,Financials
299,MAR,-16340.0,Consumer Discretionary
300,MMC,-22930.0,Financials
301,MLM,0.0,Materials
302,MAS,-9590.0,Industrials
303,MA,60260.0,Information Technology
304,MXIM,0.0,Information Technology
305,MKC,0.0,Consumer Staples
306,MCD,-45630.0,Consumer Discretionary
307,MCK,-26060.0,Health Care
308,MDT,93390.0,Health Care
309,MRK,-2530.0,Health Care
310,MET,-41920.0,Financials
311,MTD,154580.0,Health Care
312,MGM,-55780.0,Consumer Discretionary
313,MCHP,37760.0,Information Technology
314,MU,40260.0,Information Technology
315,MSFT,-3420.0,Information Technology
316,MAA,-84670.0,Real Estate
