date,SP,MKTX,PNC,TDY,NFLX,SPGI,IPGP,MSCI,NOW,BIO,AMZN
2015-07-27,25.26,97.95,97.51,102.67,106.43,99.59,79.86,65.73,76.34,146.45,531.41
2015-07-28,25.57,97.66,98.14,103.67,106.9,98.4,89.71,66.0,78.63,149.45,526.03
2015-07-29,25.77,98.16,98.55,104.99,107.08,101.48,93.3,66.91,77.98,150.46,529.0
2015-07-30,25.83,97.07,98.67,103.7,111.56,102.84,92.56,67.97,81.03,150.81,536.76
2015-07-31,26.15,97.8,98.18,103.67,114.31,101.75,92.22,68.16,80.5,150.74,536.15
2015-08-03,25.81,97.92,97.82,102.63,112.56,101.22,92.34,67.54,79.15,149.64,535.03
2015-08-04,25.66,96.96,97.92,102.9,121.15,101.09,92.5,66.96,77.91,148.97,531.9
2015-08-05,25.71,99.25,98.58,103.74,123.71,101.6,93.68,67.6,78.41,149.15,537.01
2015-08-06,24.37,97.93,98.54,103.43,126.45,100.6,94.95,66.51,75.99,144.71,529.46
2015-08-07,23.53,97.57,97.8,103.3,123.52,100.72,94.15,66.22,76.95,148.81,522.62
2015-08-10,23.66,97.41,99.86,105.6,123.03,103.35,95.02,66.79,76.59,151.39,524.0
2015-08-11,24.39,96.16,97.92,104.04,122.74,102.22,94.09,65.55,76.67,148.72,527.46
2015-08-12,24.1,95.37,96.07,103.08,120.51,101.43,91.69,63.95,76.85,146.92,525.91
2015-08-13,23.8,94.54,96.4,102.95,123.73,101.19,91.25,63.4,75.7,146.93,529.66
2015-08-14,25.08,96.38,97.59,104.25,123.39,101.7,91.88,64.08,76.63,146.25,531.52
2015-08-17,24.44,97.53,98.05,105.06,125.36,102.76,92.01,64.45,77.25,149.87,535.22
2015-08-18,23.96,97.49,99.0,104.54,124.05,102.55,91.27,64.42,75.89,148.21,535.02
2015-08-19,23.82,98.06,97.97,103.86,122.06,102.57,91.63,64.28,75.63,146.51,532.92
2015-08-20,23.52,96.57,95.08,101.04,112.49,100.3,87.6,62.74,70.31,142.68,515.78
2015-08-21,24.43,93.96,92.28,99.35,103.96,96.48,84.18,61.35,69.91,139.98,494.47
2015-08-24,23.9,89.61,88.83,95.41,96.88,92.61,81.81,58.18,68.0,134.8,463.37
2015-08-25,23.33,88.91,85.85,94.2,101.52,93.19,81.6,57.78,68.67,134.46,466.37
2015-08-26,23.48,90.97,89.03,96.32,110.13,96.27,84.77,60.14,71.41,137.72,500.77
2015-08-27,23.29,91.83,91.33,98.91,117.66,99.09,85.81,61.65,72.36,141.26,518.37
2015-08-28,23.24,91.45,91.23,98.61,117.63,99.45,85.88,62.16,72.54,139.52,518.01
2015-08-31,22.97,90.42,91.12,97.91,115.03,96.99,84.42,60.52,70.96,139.33,512.89
2015-09-01,22.43,91.71,87.19,94.36,105.79,92.77,81.58,58.56,68.92,134.48,496.54
2015-09-02,23.05,96.63,88.94,95.55,105.44,93.66,83.83,59.89,69.95,137.02,510.55
2015-09-03,23.02,96.2,89.55,95.81,101.06,93.74,82.43,59.67,71.22,137.61,504.72
2015-09-04,23.01,94.85,87.66,95.75,98.79,93.18,80.98,58.66,69.79,136.43,499.0
2015-09-08,23.17,96.5,90.98,98.57,94.95,96.16,83.28,60.92,73.33,138.4,517.54
2015-09-09,22.9,96.62,89.96,97.7,99.18,93.11,82.98,60.09,72.02,138.81,516.89
2015-09-10,22.72,97.14,90.53,97.78,99.48,93.54,82.49,60.86,72.66,138.73,522.24
2015-09-11,23.06,97.35,90.35,98.02,97.51,94.57,84.12,61.02,73.6,139.56,529.44
2015-09-14,22.95,96.96,90.66,96.28,95.69,92.79,82.59,59.85,73.56,137.89,521.38
2015-09-15,23.09,97.3,91.97,97.23,99.16,94.9,81.44,60.73,74.26,140.02,522.37
2015-09-16,23.32,97.5,91.77,97.46,104.08,94.66,81.98,60.65,73.94,139.57,527.39
2015-09-17,23.08,96.5,89.82,96.31,104.21,94.06,81.98,60.71,74.61,139.85,538.87
2015-09-18,23.11,96.32,87.43,93.72,102.62,92.22,82.56,60.12,74.36,138.93,540.26
2015-09-21,23.21,97.04,88.87,94.35,100.3,92.7,81.58,61.82,74.41,138.86,548.39
2015-09-22,23.0,95.92,87.79,93.35,98.47,91.24,80.64,60.97,73.06,137.83,538.4
2015-09-23,23.07,98.99,87.95,92.64,98.07,91.13,79.75,61.41,72.99,138.06,536.07
2015-09-24,23.24,97.15,87.8,92.14,103.76,89.2,77.55,60.47,72.12,136.78,533.75
2015-09-25,23.19,99.52,89.29,91.88,102.24,89.14,75.63,61.32,72.86,135.0,524.25
2015-09-28,22.7,94.7,87.35,90.47,99.47,85.53,72.34,58.94,69.03,134.25,504.06
2015-09-29,23.29,90.82,87.85,89.86,98.35,85.4,74.55,58.24,68.94,133.19,496.07
2015-09-30,23.15,92.88,89.2,90.3,103.26,86.5,75.97,59.46,69.45,134.31,511.89
2015-10-01,22.92,94.02,89.06,89.59,105.98,88.39,77.11,57.95,71.58,135.1,520.72
2015-10-02,22.11,95.01,88.16,90.25,106.11,89.32,77.3,58.57,72.23,137.21,532.54
2015-10-05,22.8,96.93,90.59,89.85,111.25,90.39,79.08,59.23,76.47,137.31,543.68
2015-10-06,22.44,93.33,89.95,86.41,108.33,89.16,79.19,58.61,74.58,134.34,537.48
2015-10-07,22.96,94.84,90.56,86.02,108.1,88.91,81.53,59.32,74.97,136.91,541.94
2015-10-08,23.81,95.5,90.97,86.55,114.93,89.58,81.87,59.93,73.02,138.63,533.16
2015-10-09,23.71,94.7,89.82,87.23,113.33,89.74,81.6,60.0,74.42,139.19,539.8
2015-10-12,23.99,96.96,89.71,87.05,113.45,90.23,80.44,60.49,74.28,139.18,550.19
2015-10-13,24.0,94.56,88.63,85.39,109.73,90.23,76.29,60.15,74.16,137.42,548.9
2015-10-14,24.37,94.24,86.2,83.99,110.23,90.92,75.78,59.19,73.9,136.23,544.83
2015-10-15,25.13,96.5,87.22,84.37,101.09,93.1,78.41,59.85,75.64,138.49,562.44
2015-10-16,24.73,96.73,87.61,83.6,98.99,92.65,77.11,60.18,76.46,138.64,570.76
2015-10-19,25.01,95.94,86.71,83.47,101.69,93.06,75.28,60.79,75.79,140.12,573.15
2015-10-20,24.98,96.1,88.02,83.76,98.99,93.03,75.04,60.9,74.73,139.0,560.88
2015-10-21,23.83,86.86,87.58,84.32,97.96,91.94,73.12,60.46,73.02,138.79,555.77
2015-10-22,24.48,89.55,89.48,86.5,97.32,93.16,75.09,61.08,77.95,137.13,563.91
2015-10-23,24.99,90.01,91.24,86.91,100.04,95.39,77.21,61.8,78.89,140.8,599.03
2015-10-26,24.72,95.86,90.32,85.89,103.04,94.87,75.1,62.77,78.8,140.87,608.61
2015-10-27,23.87,95.26,89.63,86.35,103.07,93.95,79.42,61.52,80.17,140.64,611.01
2015-10-28,25.6,100.2,92.92,88.64,105.8,93.98,83.89,63.05,82.15,141.7,617.1
2015-10-29,24.97,102.89,92.15,89.03,105.12,94.26,80.69,65.52,81.56,140.52,626.55
2015-10-30,25.5,101.31,90.26,89.23,108.38,92.64,82.62,67.0,81.65,139.48,625.9
2015-11-02,25.93,99.0,91.93,89.79,107.64,92.25,86.35,71.05,82.02,141.64,628.35
2015-11-03,26.26,98.88,91.76,91.39,109.74,97.71,86.09,70.21,82.53,141.32,625.31
2015-11-04,26.25,98.55,92.22,91.0,114.05,97.3,87.1,69.46,83.84,140.86,640.95
2015-11-05,25.66,98.98,92.64,91.08,113.5,97.59,86.69,68.62,83.91,140.97,655.65
2015-11-06,25.59,99.82,95.2,91.86,114.06,98.67,88.2,67.79,85.24,140.31,659.37
2015-11-09,24.12,99.16,94.63,90.8,109.86,96.27,89.04,66.49,84.6,140.7,655.49
2015-11-10,24.15,99.97,95.3,90.77,112.7,96.18,88.99,67.25,84.15,140.09,659.68
2015-11-11,23.92,101.18,95.11,89.15,112.86,96.98,90.8,67.29,83.9,139.27,673.25
2015-11-12,24.04,100.01,93.26,87.17,108.92,95.68,86.72,66.77,84.5,136.42,665.6
2015-11-13,24.19,98.58,92.32,86.66,103.65,94.7,85.57,66.21,82.88,136.04,642.35
2015-11-16,24.37,100.75,93.34,88.23,111.35,95.3,85.92,68.03,84.37,136.83,647.81
2015-11-17,24.45,101.73,93.24,88.18,117.1,95.2,86.31,69.19,84.91,138.68,643.3
2015-11-18,24.94,103.61,95.11,89.05,120.63,95.75,88.81,69.4,85.75,140.81,663.54
2015-11-19,24.7,103.49,95.1,90.64,120.22,96.39,89.51,69.42,85.75,138.42,661.27
2015-11-20,24.84,106.68,95.38,91.84,123.84,96.89,90.78,69.34,86.19,139.22,668.45
2015-11-23,25.06,107.35,94.9,92.09,125.03,95.99,89.82,69.52,86.46,139.06,678.99
2015-11-24,25.29,105.2,95.15,92.95,123.31,96.88,89.9,70.08,86.7,139.28,671.15
2015-11-25,25.4,106.0,94.72,93.0,124.16,96.88,89.76,69.96,86.89,140.05,675.34
2015-11-27,25.62,107.66,95.48,92.58,125.44,96.85,91.78,70.61,87.29,141.64,673.26
2015-11-30,25.17,106.78,95.51,92.51,123.33,96.47,91.19,70.12,87.01,139.72,664.8
2015-12-01,25.0,106.7,96.35,93.23,125.37,97.47,92.12,70.56,86.47,140.04,679.06
2015-12-02,24.93,106.44,95.22,92.45,128.93,97.42,93.59,70.39,87.53,139.47,676.01
2015-12-03,24.65,109.5,93.85,90.86,126.81,95.75,92.06,69.64,88.09,136.51,666.25
2015-12-04,24.92,113.88,97.19,92.11,130.93,98.33,92.14,71.87,89.99,138.98,672.64
2015-12-07,25.06,113.56,96.49,91.32,125.36,97.02,91.79,70.67,87.98,137.8,669.83
2015-12-08,24.84,112.92,94.86,89.18,126.98,95.84,91.88,70.48,87.72,138.13,677.33
2015-12-09,24.56,109.51,93.56,87.35,124.2,94.45,89.67,69.42,86.1,135.47,664.79
2015-12-10,24.1,109.18,94.35,88.04,122.91,95.06,89.09,69.95,86.94,137.01,662.32
2015-12-11,23.61,106.65,92.37,86.84,118.91,92.67,88.29,68.8,83.49,135.36,640.15
2015-12-14,23.11,108.27,92.77,86.68,120.67,94.41,88.25,69.62,83.57,134.36,657.91
2015-12-15,23.6,108.0,94.84,87.83,118.6,95.12,90.32,70.33,85.6,136.68,658.64
2015-12-16,24.1,109.22,97.0,89.47,122.64,96.52,90.53,71.48,87.39,137.13,675.77
2015-12-17,24.01,107.92,95.68,88.18,122.51,95.32,90.12,70.89,87.27,137.74,670.65
2015-12-18,24.05,104.88,93.75,87.04,118.02,93.86,88.56,71.52,85.73,135.01,664.14
2015-12-21,24.47,105.62,94.46,87.99,116.63,95.16,89.17,71.97,87.02,136.97,664.51
2015-12-22,24.89,104.8,94.57,89.18,116.24,95.9,89.55,71.54,86.48,138.45,663.15
2015-12-23,24.64,104.76,96.17,89.53,118.16,97.98,91.4,72.18,86.89,138.44,663.7
2015-12-24,24.22,111.13,96.24,87.95,117.33,97.49,91.46,72.35,86.96,139.11,662.79
2015-12-28,24.39,112.7,95.94,89.14,117.11,97.47,91.42,72.38,86.89,140.07,675.2
2015-12-29,24.53,114.24,96.95,89.74,119.12,100.0,91.79,72.85,88.12,140.99,693.97
2015-12-30,24.39,112.96,96.1,89.23,116.71,99.86,90.36,72.59,87.38,139.57,689.07
2015-12-31,23.9,111.59,95.31,88.7,114.38,98.58,89.16,72.13,86.56,138.66,675.89
2016-01-04,24.0,109.28,93.16,87.62,109.96,94.8,85.84,70.61,84.07,136.19,636.99
2016-01-05,24.15,110.09,93.29,87.52,107.66,95.12,83.39,71.14,84.0,136.18,633.79
2016-01-06,23.95,108.76,91.6,86.67,117.68,94.08,80.93,70.59,81.42,134.81,632.65
2016-01-07,23.79,107.06,89.28,84.44,114.56,91.12,78.1,69.49,79.64,131.99,607.94
2016-01-08,23.59,105.73,87.96,82.74,111.39,88.51,79.8,68.5,78.12,130.51,607.05
2016-01-11,23.47,106.52,88.28,83.7,114.97,88.47,79.47,68.13,78.53,130.49,617.74
2016-01-12,22.27,106.28,89.0,84.06,116.58,88.72,83.02,69.2,80.99,130.45,617.89
